age,M Spline,S Spline,L Spline
65,0.021044647,-0.007392647,0
65.25,0.020841308,-0.005154308,0
65.5,0.020627264,-0.002866175,0
65.75,0.020402111,-0.000529089,0
66,0.020166015,0.00185606,0
66.25,0.019919362,0.004288363,0
66.5,0.019662539,0.006766913,0
66.75,0.019395932,0.009290801,0
67,0.019119928,0.011859118,0
67.25,0.018834914,0.014470955,0
67.5,0.018541278,0.017125405,0
67.75,0.018239405,0.019821559,0
68,0.017929682,0.022558508,0
68.25,0.017612497,0.025335343,0
68.5,0.017288235,0.028151157,0
68.75,0.016957285,0.031005041,0
69,0.016620032,0.033896085,0
69.25,0.016276864,0.036823382,0
69.5,0.015928167,0.039786024,0
69.75,0.015574328,0.042783101,0
70,0.015215733,0.045813703,0
70.25,0.014852686,0.048876753,0
70.5,0.014485353,0.051970893,0
70.75,0.014113887,0.055094734,0
71,0.013738441,0.058246892,0
71.25,0.013359167,0.061425979,0
71.5,0.012976219,0.064630609,0
71.75,0.012589748,0.067859395,0
72,0.012199908,0.071110952,0
72.25,0.011806851,0.074383892,0
72.5,0.01141073,0.077676829,0
72.75,0.011011698,0.080988377,0
73,0.010609907,0.084317148,0
73.25,0.01020551,0.087661758,0
73.5,0.00979866,0.091020818,0
73.75,0.00938951,0.094392943,0
74,0.008978212,0.097776746,0
74.25,0.008564919,0.10117084,0
74.5,0.008149757,0.104573867,0
74.75,0.007732618,0.107984704,0
75,0.007313275,0.111402347,0
75.25,0.006891501,0.114825797,0
75.5,0.006467067,0.118254053,0
75.75,0.006039745,0.121686113,0
76,0.005609308,0.125120976,0
76.25,0.005175527,0.128557642,0
76.5,0.004738174,0.131995109,0
76.75,0.004297021,0.135432377,0
77,0.00385184,0.138868444,0
77.25,0.003402404,0.14230231,0
77.5,0.002948484,0.145732973,0
77.75,0.002489852,0.149159433,0
78,0.002026281,0.152580688,0
78.25,0.001557541,0.155995738,0
78.5,0.001083402,0.15940357,0
78.75,0.000603643,0.162803208,0
79,0.000118181,0.166194015,0
79.25,-0.000372764,0.169576127,0
79.5,-0.000868918,0.172949828,0
79.75,-0.001370009,0.176315384,0
80,-0.001875766,0.179673064,0
