age,M Spline,S Spline,L Spline
87.75,-0.252629889,0.085017578,0
88,-0.254069314,0.085425888,0
88.25,-0.255504755,0.085833055,0
88.5,-0.256936233,0.086239085,0
88.75,-0.258363767,0.086643983,0
89,-0.259787376,0.087047756,0
89.25,-0.26120708,0.087450409,0
89.5,-0.262622898,0.087851949,0
89.75,-0.264034849,0.088252381,0
90,-0.265442953,0.088651712,0
90.25,-0.266847228,0.089049946,0
90.5,-0.268247693,0.08944709,0
90.75,-0.269644366,0.089843148,0
91,-0.271037262,0.090238127,0
91.25,-0.272426401,0.090632032,0
91.5,-0.273811803,0.091024869,0
91.75,-0.275193491,0.091416643,0
92,-0.276571486,0.091807362,0
92.25,-0.277945809,0.09219703,0
92.5,-0.279316473,0.092585653,0
92.75,-0.280683494,0.092973235,0
93,-0.282046886,0.093359781,0
93.25,-0.283406661,0.093745296,0
93.5,-0.284762834,0.094129784,0
93.75,-0.286115419,0.094513251,0
94,-0.287464428,0.0948957,0
94.25,-0.288809876,0.095277137,0
94.5,-0.290151776,0.095657566,0
94.75,-0.291490141,0.096036991,0
95,-0.292824984,0.096415417,0
