age,M Spline,S Spline,L Spline
83.75,-0.053505077,0.313618262,0
84,-0.053746213,0.315432574,0
84.25,-0.053986564,0.31724166,0
84.5,-0.054226138,0.319045536,0
84.75,-0.054464944,0.320844219,0
85,-0.054702992,0.322637725,0
85.25,-0.054940288,0.324426071,0
85.5,-0.055176842,0.326209278,0
85.75,-0.05541266,0.327987368,0
86,-0.05564775,0.329760361,0
86.25,-0.05588212,0.33152828,0
86.5,-0.056115776,0.333291143,0
86.75,-0.056348726,0.335048971,0
87,-0.056580978,0.336801784,0
87.25,-0.056812539,0.338549603,0
87.5,-0.057043414,0.340292453,0
87.75,-0.05727361,0.342030359,0
88,-0.057503132,0.343763346,0
88.25,-0.057731987,0.345491441,0
88.5,-0.05796018,0.34721467,0
88.75,-0.058187715,0.348933058,0
89,-0.058414597,0.35064663,0
89.25,-0.058640832,0.352355414,0
89.5,-0.058866424,0.354059434,0
89.75,-0.059091376,0.355758716,0
90,-0.059315692,0.357453286,0
90.25,-0.059539377,0.359143169,0
90.5,-0.059762435,0.36082839,0
90.75,-0.059984869,0.362508972,0
91,-0.060206685,0.364184941,0
91.25,-0.060427885,0.365856321,0
91.5,-0.060648475,0.367523134,0
91.75,-0.060868457,0.369185406,0
92,-0.061087838,0.370843159,0
92.25,-0.061306619,0.372496417,0
92.5,-0.061524806,0.374145204,0
92.75,-0.061742401,0.375789544,0
93,-0.061959409,0.37742946,0
93.25,-0.062175831,0.379064976,0
93.5,-0.062391673,0.380696114,0
93.75,-0.062606937,0.382322899,0
94,-0.062821626,0.383945353,0
94.25,-0.063035744,0.385563499,0
94.5,-0.063249294,0.387177359,0
94.75,-0.063462279,0.388786956,0
95,-0.063674703,0.390392312,0
