age,M Spline,S Spline,Lspline
80.5,-0.19830945,0.132561485,0
80.75,-0.199950494,0.133604802,0
81,-0.201586955,0.1346451,0
81.25,-0.203218825,0.135682387,0
81.5,-0.204846094,0.136716667,0
81.75,-0.206468755,0.137747947,0
82,-0.208086806,0.138776234,0
82.25,-0.20970025,0.139801537,0
82.5,-0.211309113,0.140823873,0
82.75,-0.212913414,0.141843256,0
83,-0.214513177,0.142859703,0
83.25,-0.216108421,0.143873227,0
83.5,-0.217699169,0.144883844,0
83.75,-0.219285441,0.145891569,0
84,-0.220867259,0.146896415,0
84.25,-0.222444642,0.147898398,0
84.5,-0.224017612,0.148897531,0
84.75,-0.225586189,0.14989383,0
85,-0.227150393,0.150887308,0
85.25,-0.228710245,0.15187798,0
85.5,-0.230265765,0.152865858,0
85.75,-0.231816972,0.153850958,0
86,-0.233363887,0.154833293,0
86.25,-0.234906529,0.155812877,0
86.5,-0.236444917,0.156789723,0
86.75,-0.237979072,0.157763845,0
87,-0.239509012,0.158735256,0
87.25,-0.241034757,0.159703969,0
87.5,-0.242556325,0.160669998,0
87.75,-0.244073737,0.161633355,0
88,-0.245587009,0.162594055,0
88.25,-0.247096162,0.163552108,0
88.5,-0.248601214,0.164507529,0
88.75,-0.250102182,0.165460331,0
89,-0.251599087,0.166410525,0
89.25,-0.253091945,0.167358124,0
89.5,-0.254580775,0.168303141,0
89.75,-0.256065595,0.169245588,0
90,-0.257546423,0.170185478,0
90.25,-0.259023276,0.171122822,0
90.5,-0.260496172,0.172057633,0
90.75,-0.26196513,0.172989923,0
91,-0.263430165,0.173919703,0
91.25,-0.264891295,0.174846986,0
91.5,-0.266348538,0.175771783,0
91.75,-0.267801912,0.176694106,0
92,-0.269251433,0.177613968,0
92.25,-0.270697118,0.178531378,0
92.5,-0.272138984,0.17944635,0
92.75,-0.273577046,0.180358892,0
93,-0.275011318,0.181269017,0
93.25,-0.276441819,0.182176735,0
93.5,-0.277868567,0.183082059,0
93.75,-0.279291582,0.183985002,0
94,-0.280710886,0.184885577,0
94.25,-0.282126496,0.185783796,0
94.5,-0.283538414,0.186679663,0
94.75,-0.28494664,0.187573182,0
95,-0.286351175,0.188464355,0
