age,M Spline,S Spline,L Spline
74.75,0.018761416,0.154225937,0
75,0.017878056,0.159176171,0
75.25,0.016981835,0.16415134,0
75.5,0.016073246,0.169150418,0
75.75,0.015152779,0.174172376,0
76,0.014220927,0.179216188,0
76.25,0.013278182,0.184280826,0
76.5,0.012325037,0.189365263,0
76.75,0.011361982,0.194468472,0
77,0.010389511,0.199589425,0
77.25,0.009408115,0.204727094,0
77.5,0.008418287,0.209880452,0
77.75,0.007420516,0.215048476,0
78,0.006415259,0.220230202,0
78.25,0.005402853,0.225424881,0
78.5,0.004383613,0.2306318,0
78.75,0.003357855,0.235850248,0
79,0.002325896,0.241079512,0
79.25,0.00128805,0.246318881,0
79.5,0.000244635,0.251567643,0
79.75,-0.000804035,0.256825086,0
80,-0.001857643,0.262090496,0
